,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
2780,tribe,kind (n.),tribe,kind ,3
2781,tribunal,territorial entity,tribunal,territorial entity,1
2782,troop (of animals),common minnow,troop of animals,common minnow,1
2783,trough,river-bed,trough,river bed,5
2784,truffle,potato,truffle,potato,1
2785,trumpet,"trunk, proboscis (of elephant)",trumpet,trunk or proboscis of elephant,2
2786,trunk (of a tree),barrel (of a gun),trunk of a tree,barrel of a gun,4
2787,trunk (of a tree),tribe,trunk of a tree,tribe,1
2788,"trunk, proboscis (of elephant)",tendril (of plant),trunk or proboscis of elephant,tendril of plant,1
2789,turbid,to feel sick,turbid,to feel sick,1
2790,turmeric (Curcuma),yellow,turmeric Curcuma,yellow,1
2791,umbrella,circular halo,umbrella,circular halo,1
2792,umbrella,parachute,umbrella,parachute,7
2793,uncle,woodland spirit,uncle,woodland spirit,1
2794,uncle (father's brother),bear (Ursus),uncle father's brother,bear ,1
2795,"underground, subterranean",illegal,underground or subterranean,illegal,6
2796,"underground, subterranean",secret,underground or subterranean,secret,2
2797,unhappy,leper,unhappy,leper,1
2798,unhappy,lovely,unhappy,lovely,1
2799,uninhabited (place),monastery,uninhabited place,monastery,1
2800,union,(masonry) mortar,union,masonry mortar,1
2801,unit of length,index finger,unit of length,index finger,1
2802,unripe (fruit),young,unripe fruit,young,8
2803,upper arm,cock (of a gun),upper arm,cock of a gun,1
2804,upper reach (of river),south,upper reach of river,south,1
2805,urban,cultivated (of person),urban,cultivated of person,1
2806,urine,child (son or daughter),urine,child son or daughter,1
2807,vagina,girl,vagina,girl,1
2808,vagina,womb,vagina,womb,2
2809,vehicle,"many, much",vehicle,many or much,3
2810,vehicle,shaman hand drum,vehicle,shaman hand drum,1
2811,vessel,ability,vessel,ability,1
2812,vessel,blood vessel,vessel,blood vessel,11
2813,vessel,"property, possessions",vessel,property or possessions,2
2814,violent,bear (Ursus),violent,bear ,1
2815,voice,vote,voice,vote,3
2816,vulture,police officer,vulture,police officer,1
2817,waist,girth,waist,girth,1
2818,warm,calm,warm,calm,1
2819,warm,drunk,warm,drunk,4
2820,warm,effeminate,warm,effeminate,1
2821,warm,"friendly, amicable",warm,friendly or amicable,11
2822,warm,gay,warm,gay,2
2823,warp,basis,warp,basis,3
2824,warp,longitude,warp,longitude,1
2825,wasp,hornet,wasp,hornet,2
2826,water,Mercury,water,Mercury,1
2827,water,kind (n.),water,kind ,1
2828,water-melon (Cucurbita citrullus),buttock,water melon  ,buttock,1
2829,wax,yellow,wax,yellow,2
2830,weak,bad,weak,bad,7
2831,weak,coward,weak,coward,1
2832,weak,inclination to smth,weak,inclination to ,3
2833,weak,not strong (of liquid or smell),weak,not strong of liquid or smell,3
2834,weak,poor,weak,poor,3
2835,weak,rare,weak,rare,3
2836,weak,stupid,weak,stupid,4
2837,weed,cannabis,weed,cannabis,2
2838,"weft, woof",latitude,weft or woof,latitude,1
2839,well-being,"property, possessions",well being,property or possessions,1
2840,wet,good,wet,good,3
2841,wet,"inert, passive",wet,inert or passive,1
2842,wet,"lavish, generous",wet,lavish or generous,1
2843,wet,weak,wet,weak,3
2844,wet,whore,wet,whore,1
2845,whale,big,whale,big,1
2846,wheel,vehicle,wheel,vehicle,3
2847,wheeze,radiointerference,wheeze,radio interference,1
2848,when,if,when,if,3
2849,whisper,intrigue,whisper,intrigue,1
2850,white,American,white,American,1
2851,white,Boletus edulis,white,penny bun fungus,1
2852,white,"albugo, wall-eye",white, wall eye,2
2853,white,bare (feet),white,bare feet,1
2854,white,beautiful,white,beautiful,1
2855,white,bed-clothes,white,bed clothes,1
2856,white,blank,white,blank,3
2857,white,innocent,white,innocent,1
2858,white,leprosy,white,leprosy,2
2859,white,pure,white,pure,1
2860,white,sober,white,sober,1
2861,white,underwear,white,underwear,1
2862,"wide, broad",big,wide or broad,big,1
2863,width,latitude,width,latitude,1
2864,wife,queen (playing card),wife,queen playing card,1
2865,"wild, untamed",bad,wild or untamed,bad,3
2866,"wild, untamed",barren (of animals),wild or untamed,barren of animals,1
2867,"wild, untamed",impulsive,wild or untamed,impulsive,9
2868,"wild, untamed",predator,wild or untamed,predator,1
2869,"wild, untamed","rude, impolite",wild or untamed,rude or impolite,21
2870,"wild, untamed",shy,wild or untamed,shy,18
2871,"wild, untamed",very,wild or untamed,very,8
2872,"wild, untamed",violent,wild or untamed,violent,15
2873,will,love,will,love,3
2874,will,will (legal document),will,will legal document,1
2875,willow,poplar (Populus alba),willow,poplar Populus alba,3
2876,wind,anger,wind,anger,1
2877,wind,disease,wind,disease,4
2878,wind,flatus,wind,flatus,3
2879,wind,quick,wind,quick,1
2880,wind,rumour,wind,rumor,2
2881,wind,sail (n.),wind,sail ,1
2882,wind,soul,wind,soul,1
2883,wine,brown,wine,brown,1
2884,wing,fin,wing,fin,19
2885,wing,flank (military),wing,flank military,10
2886,wing,"leaf (of door, window)",wing,leaf of door or window,4
2887,wing,oar,wing,oar,1
2888,wing,outbuilding,wing,outbuilding,3
2889,wing,sail (n.),wing,sail ,2
2890,wing,side (n.),wing,side ,2
2891,wing,to defend,wing,to defend,1
2892,winnowing fan,fan (hand-held),winnowing fan,fan hand held,1
2893,winter,North,winter,North,2
2894,winter,"mist, fog",winter,mist or fog,2
2895,winter,year,winter,year,6
2896,wire (n.),telegram,wire ,telegram,1
2897,"witch, sorceress",butterfly,witch or sorceress,butterfly,5
2898,"witch, sorceress",ladybird,witch or sorceress,ladybird,1
2899,with exception of,in addition to,with exception of,in addition to,2
2900,witness,martyr,witness,martyr,4
2901,"wizard, magician","doctor, physician",wizard or magician,doctor or physician,1
2902,"wizard, magician",fraudster,wizard or magician,fraudster,1
2903,wolf,pike (fish),wolf,pike fish,1
2904,wolf,poisonous,wolf,poisonous,1
2905,woman,Aloe vera (plant),woman,Aloe vera plant,3
2906,woman,sheaf,woman,sheaf,2
2907,womb,origin,womb,origin,1
2908,womb,relative (n.),womb,relative ,1
2909,womb,to feel pity,womb,to feel pity,1
2910,wood shavings,dandelion,wood shavings,dandelion,1
2911,"wood, timber",Jupiter,wood or timber,Jupiter,1
2912,"wood, timber",substance,wood or timber,substance,2
2913,wooden object,bastard,wooden object,bastard,1
2914,wooden object,pack of cards,wooden object,pack of cards,2
2915,woodland spirit,tiger,woodland spirit,tiger,1
2916,woodpecker,trigger (of a gun),woodpecker,trigger of a gun,1
2917,word,speech,word,speech,22
2918,word,thing,word,thing,5
2919,word,verb,word,verb,6
2920,work (n.),thing,work ,thing,1
2921,world,people (pl.),world,people ,3
2922,worm,ant,worm,ant,1
2923,worm,caterpillar,worm,caterpillar,1
2924,yam,potato,yam,potato,1
2925,yam,sweet potato (Ipomoea batatas),yam,sweet potato  batatas,3
2926,"yard, courtyard",court (of a sovereign),yard or courtyard,court of a sovereign,5
2927,"yard, courtyard",diaphragm,yard or courtyard,diaphragm,1
2928,"yard, courtyard",palace,yard or courtyard,palace,1
2929,yellow,hepatitis,yellow,hepatitis,4
2930,yesterday,recently,yesterday,recently,1
2931,yoke,unit of area,yoke,unit of area,1
2932,yoke,yoke (figuratively),yoke,yoke figuratively,14
2933,yolk,centre,yolk,center,1
2934,young,brave,young,brave,2
2935,young,newlywed,young,newlywed,1
2936,young man,soldier,young man,soldier,2
2937,younger brother,bear (Ursus),younger brother,bear ,1
2938,younger brother,husband,younger brother,husband,1
2939,younger brother,owner,younger brother,owner,1
2940,zebra,pedestrian crossing,zebra,pedestrian crossing,4
